FROM,TO
85483,85906
83901,85065
82940,83314
62403,62696
61264,62102
60285,60760
59007,59176
58341,59006
56662,56904
35083,35812
34054,34454
21324,21617
14793,14994
9703,10531
8607,9253
8465,8606
7915,8464
7669,7914
7435,7668
7211,7434
6991,7210
6857,6990
6637,6856
6392,6636
6208,6391
6084,6207
5791,6083
5491,5790
5329,5490
5101,5328
4925,5100
4742,4924
4666,4741
4450,4665
4368,4449
4092,4367
4012,4091
3748,4011
3676,3747
3498,3675
3426,3497
3300,3425
3026,3299
2748,3025
2676,2747
2458,2675
2150,2457
1894,2149
1832,1893
1652,1831
1488,1651
1416,1487
1284,1415
1210,1283
996,1209
909,995
839,908
677,838
496,676
418,495
218,417
6,217
